,Unnamed: 0,title,content,comment,date,category,vader_score,dict_score
0,0,Billionaire Ray Dalio Says '50% Chance Of World War' - How To Invest?,Billionaire Hedge Fund tycoon Ray Dalio  in a recent LinkedIn  titled Another Step Toward International War  offered some sobering takeaways from the escalating geopolitical conflicts involving Israel and Hamas and Russia and Ukraine Dalio underscored that these are notIn this article we will look further at his reasoning behind this stark assertion evaluate the potential damage that such a conflict would cause to the global economy and share how weMr Dalios thesis draws on parallels between the current geopolitical climate and the periods preceding the two World Wars in the 20th century He emphasizes that the IsraelHamas and RussiaUkraine conflicts have transitioned from prehotwar conflicts to uncontained hot wars which will likely be brutal and protracted until one side decisively triumphs over the other Furthermore Dalio warns that these conflicts have the potential to spread and escalate involving more countries and potentially leading to a world war if major powers like the US and China are drawn into direct conflict with each otherHe believes that the conflicts involving Israel Hamas Ukraine and Russia are  just like in the periods preceding the past two world wars  symptomatic of larger great power conflicts that will significantly impact countries allied with these nations He suggests that the US is already indirectly engaged in these conflicts fighting proxy wars in Europe and the Middle East while also preparing for potential conflict in East Asia The spreading of these wars will not only be costly but will also risk drawing noncombatant nations into the fray thereby expanding the scope and scale of the conflictsIn terms of solutions Dalios idealistic pipe dream would be for world leaders to recognize the catastrophic potential of hot wars and collaboratively establish pathways and processes to minimize the chances of such conflicts developing Apart from that increasingly unlikely solution materializing however it appears to be only a matter of time before hot conflict between the worlds major military and economic powers breaks outFor stock market investors the implications of a global war would likely be devastating The escalation of geopolitical conflicts and the potential for them to spiral into a larger more widespread war could introduce significant volatility and risk into global marketsWhile the death and destruction that such a global conflict would cause are reason enough to shudder at the idea that they are growing increasingly likely the economic fallout would be catastrophic as well given how interconnected the global economy has become A war pitting China against the United States and undoubtedly involving Taiwan as well is anticipated to unleash severe repercussions on the global economy and some  put the damage at a 5 contraction of the 23 trillion US economy marking the worst decline since the Great Depression The stock markets in the US and around the world would undoubtedly crash likely surpassing even the 50 drop in the SP 500  and Nasdaq  witnessed during the 20072009 Great Financial Crisis and recession If the market capitalization of the SP 500 were to be halved it would wipe out around 18 trillion in wealth which is equivalent to roughly twothirds of the United States current GDP Some  even put a 10 GDP decline as probable in this scenario which equates to a 25 trillion hit to annual economic output triggering mass layoffs and plummeting consumption ratesOf course a significant casualty in this conflict that would drive much of the global economic chaos in its wake would be the semiconductor industry given that Taiwan is a critical player in global semiconductor production  A major disruption of Taiwans semiconductor exports to the worlds major economies is estimated to potentially eliminate 16 trillion in corporate annual revenue Moreover the supply chain restructuring required in response to a potential ,188,2023-10-16,2,-0.9985,-0.8604650962682536
1,1,S&P 500 Decline Below 200-Day Moving Average Not Even An Outlier,After the trajectory of the SP 500 Index  dropped below both the dividend futuresbased models redzone forecast range and its 200day moving average the latter of which matters to people who buy into technical analysis we We can find theFraming the data this way allows us to first verify the SP 500 has been in a relative period of order since September 30 2022 and to establish the range where we would expect to find the value of the index while that order holds We find that through Friday October 20 2023 the level of the SP 500 is neither an outlier nor has the current period of relative order for the index broken downFor it to be either the SP 500 would need to first drop roughly another four percent from its October 20 2023 closing value If then it were an outlier it would quickly bounce back up above the reddashed line and resume following its established trend If order were to break down instead the SP 500 would stay below the reddashed curve for a sustained period of timeOf the two scenarios having order break down is the one to worry about because that would be a real sell signal To understand why that matters check out what happened after investors got the  in 1929 The summary bullets for this article were chosen by Seeking Alpha editors,4,2023-10-24,8,-0.4767,-0.9999997500000625
2,2,Grupo Aeroportuario del Centro Norte: Analyzing The Fee Change Impact (Rating Upgrade),In  last month about Grupo Aeroportuario del Centro Norte  I mentioned while giving a Buy rating that one of the risks associated with the company and airportsAnd on October 5th this risk materialized causing a drop of between 30 and 40 in all Mexican airport stocks In this article I will discuss the news that shook this group of stocks and the effects it will have on OMABs revenue Additionally I will explain why last week was that the Mexican government intended to change the formula that establishes price limits on fees for the use of airports which are typically charged to passengers This fee is called the Tarifa de Uso de Aeropuerto TUA in Spanish or the  AUF in English and it is only paid by domestic passengersWhile this is something positive for passengers  I say this as a Mexican who usually takes flights within the country and is aware of the complaints that Mexicans make about the AUF  it may not be as positive for airport revenues and could result in a considerable loss There is still no official statement from any of the parties involved but the newspaper called  that this reduction could be around 8 or lets call it 10 for arguments sake During FY2022 59 of OMABs revenues came from Aeronautical Services which include the  that are planned to be modified Of this percentage 68 came from domestic passenger charges themselves so the remaining 32 would not be affected at least not initiallyThen the FY2022 distribution of revenues look like thisIf we consider the 10 reduction that the newspaper El Financiero mentioned in  they reported an 8 reduction but lets be conservative then these revenues would have been 432 billion MXN Therefore total revenues for FY2022 after factoring in this 10 reduction in  would amount to 1145 billion MXN representing a 4 decrease compared to reported revenues This does not seem to justify a 25 drop in just 5 daysI understand that the decline in shares may be more related to the precedent this situation could set with concerns that Mexico might follow the path of countries like China or Russia where the government significantly intervenes in business operations However its important to note that the proposed change appears to be minimal in terms of business impact and we still do not have official confirmation or details on whether negotiations could alter the conditions At this point these developments could be based on rumorsIn my previous valuation I mentioned that I considered it feasible for revenues to grow by 12 annually in the coming years However to account for the factors discussed above lets make a 4 adjustment to the growth rateThis adjustment would result in an annual growth rate of 8 If we apply valuation multiples of 10x EBITDA and 15x earnings this would translate to an annualized return of 21 from the current share price of 150 MXN in the Mexican Stock Exchange Bolsa de Valores MexicanaThe investment thesis has not changed and one could argue that it has become even more attractive This is due to the news causing valuations to drop to levels not seen since the 2008 financial crisis and the worst of 2020 when the economy came to a standstill and airports had no traffic due to the lockdownThe risks remain consistent with those I mentioned in  However in this case we have already witnessed how the stock can react when one of these risks materializes The key question here is whether you believe that this government action sets a precedent for what we might expect in the future or if it is a relatively minor adjustment within reason In my case I tend to believe the latter because this change would only represent around 4 in the companys revenue assuming the worst case scenario in one of the companies with the greatest exposure to Passenger Charges revenues companies like NYSE  of their revenues exposed to this segment while NYSE has  of their Aeronautical Services Revenues ,18,2023-10-09,7,-0.8394,-0.4999999687500019
3,3,New Homes More Unaffordable Than During Housing Bubble,The  of monthly median household income estimates from March 2021 confirms the picture for new home affordability in the Biden era is worse than previously indicatedThats saying something because the  was alreadyThe new picture reveals the unaffordability of new homes has routinely exceeded the peak of unaffordability recording during the early2000s housing bubble in nearly every month since April 2022Through August 2023 it remains well elevated above that threshold as measured by the percentage of median household income needed to pay the mortgage payment on the median new home soldIn this chart March 2021 marks the last time new homes were fully below the 28 threshold of unrestricted affordability for median incomeearning households They had heldAfter the revisions to account for the much slower growth of median household income that has occurred since March 2021 the level of unaffordability rose slowly through March 2022 then rose rapidly as mortgage rates surged with the peak of unaffordability reached in October 2022The mortgage payment on a new home sold during that month would have consumed 529 of the income earned by a household at the exact middle of the distribution of income in the USSince that spike the percentage of a median incomeearning household needed to pay the mortgage on a new home has fallen back to a range between 413 and 451 during 2023These levels either match or exceed the peak of unaffordability recorded in April 2006 during the housing bubble They are also wellelevated above the 36 level that mortgage lenders have historically set as the threshold of affordability for homeowners to be allowed to take out a mortgage to buy a home provided they have no other household debtThe next chart updates the picture for the raw measure of new home affordability which presents median household income as a percentage of the sale price of the median new home soldSince this chart also presents annual data to provide a longer timeline it incorporates the annual median household income data for 2022 that was released by the Census Bureau in September 2023The monthly data series tracks back to December 2000 but its revisions are contained in the period since March 2021 coinciding with the slower growth in median household income realized since then according to the Census Bureaus dataThe monthly data which utilizes our monthly median household income estimates tracks closely with the Census Bureaus annual dataThe revised monthly data indicates new homes set a record low for the raw affordability of new homes in December 2022 when this measure bottomed at 160 During 2023 falling prices for the median new home sold in the US has improved the raw affordability measure during the yeartodate in 2023US Census Bureau New Residential Sales Historical Data Houses Sold  Accessed 26 September 2023US Census Bureau New Residential Sales Historical Data Median and Average Sale Price of Houses Sold  Accessed 26 September 2023Freddie Mac 30Year Fixed Rate Mortgages Since 1971  Accessed 29 September 2023 Note Starting from December 2022 the estimated monthly mortgage rate is taken as the average of weekly 30year conventional mortgage rates recorded during the month The summary bullets for this article were chosen by Seeking Alpha editors,4,2023-10-06,3,0.4118,-0.599999880000024
4,4,The S&P 500 Falls On Surge In Treasuries And Fed's Signal Of More Rate Hikes,Two big things happened to the SP 500 Index  in the past week as the index fell to  through Friday 20 October 2023 a 24 weekoverweek declineThe first big thing to happen was a surgeThe second big thing to happen came on Thursday 21 October 2023 when Federal Reserve Chair Jerome Powell spoke and  the Fed might resume hiking shortterm interest rates even though Fed officials were saying the surge in the interest rate yields of Treasuries were doing their job for themFor the market that statement came as a number of midsize banks  because of rising interest rates increasing their costs The combined effect of thisThe SP 500s trajectory breaking below the bottom end of the redzone forecast range comes as the index coincidentally  For the record the upper and lower limits we set for the redzone forecast range are not based on the moving averages used in technical analysis which we view as  at best Its more useful to ask if that change is an outlier event or a warning signal indicating order is breaking down in the stock market Well find out which of these options is the correct reading of whats going on in the stock market soon enoughWhile those were the biggest events to move markets during the week that was here are the weeks other marketmoving headlines to provide more context in what new information investors had to absorbThe CME Groups  continues to project the Fed will hold the Federal Funds Rate steady in a target range of 525550 through May 2024Q2 unchanged from last week Starting from 12 June 2024Q2 investors expect deteriorating economic conditions will force the Fed to start a series of quarterpoint rate cuts at six to twelveweek intervals through the end of 2024The s forecast of annualized real growth rate during 2023Q3 increased to 54 from last weeks forecast of 51 The socalled Blue Chip Consensus estimates range from a low of 24 to 45 with a median estimate of 35 The summary bullets for this article were chosen by Seeking Alpha editors,3,2023-10-23,3,0.9476,-0.33333322222225925
5,5,Teen Jobs Flat To Lower As Divergence With Older Americans Develops,Teen employment was mostly flat to lower in September 2023After seasonal adjustments some 5570000 Americans Age 16 through 19 were counted as having jobs during the month down 14000 from August 2023s level As a percentageThat continues the downward trend established since April 2023 when seasonally adjusted teen employment peaked at 5796000 and the employedtopopulation ratio peaked at 337 The five months since April 2023 have seen the number of working teens decrease by 226000The following charts present the seasonallyadjusted data for teen employment and the teen employmenttopopulation ratio in the US from January 2016 through September 2023 also indicating the data for the Age 1617 and Age 1819 subgroups within the teen populationTheThe data suggests a divergence is developing within the US labor market Teens the most marginal members of the US labor force thanks to having the least education skills and work experience of all members within it are experiencing a more negative employment situation than older Americans The summary bullets for this article were chosen by Seeking Alpha editors,2,2023-10-12,3,-0.4576,-0.99999950000025
6,6,U.S. Recession Probability Starts To Recede,The probability the US economy will experience an official period of recession has begun to recedeThose odds peaked at the time of our  just before the US Federal Reserve  it would hike theBut despite that increase the probability of recession began to fall as longerterm interest rates have risen As measured by the spread between constant maturity 10year and 3month US Treasuries the treasury yield curve has become less inverted in the weeks sinceThat reduced inversion is why the odds of recession have receded Heres the latest  to the Recession Probability Track visualizing these latest developmentsThe Recession Probability Track shows the current probability of a recession being officially determined toWith the recession probability starting to recede without a recession having been declared it might seem as if the US economy could escape a period of contraction Such an outcome would be an exception however Historically the Recession Probability Track has peaked and begun to recede ahead of any recession declaration by the NBER The event often marks when its time to start the recession announcement countdown clockBut not always There have been exceptions in the past The questions that matter now is will this be one of them and how confident are you of that possibilityThe Recession Probability Track is based on Jonathan Wrights  which factors in the onequarter average spread between the  and the corresponding onequarter average level of the  If youd like to do that math using the latest data available to anticipate where the Recession Probability Track is heading we have a  to do the mathWell continue to follow the Federal Reserves Open Market Committees  in providing updates for the Recession Probability Track until the US Treasury yield curve is no longer inverted Or rather until the interest rate yield on the 3month constant maturity US Treasury is no longer higher than the yield on the 10year constant maturity US Treasury The summary bullets for this article were chosen by Seeking Alpha editors,24,2023-09-19,3,-0.9664,-0.7777777345679036
7,7,New Home Market Cap Closing In On Housing Bubble Peak,Political Calculations initial estimate of the market capitalization of new homes sold during the month of September 2023 is 3062 billion That figure is less than half a billion away from the nominal noninflation adjusted peak of 3105 billion thatWhile this figure will be revised over the next several months it continues a yearlong trend for the noninflation adjusted valuation of the number of new homes sold in the US That trend coincides with a growing shortage of existing homes being put up for sale which has boosted new home salesThe underlying reason for the trend is the  scenario facing many existing home owners who purchased their homes at historically low mortgage rates which had bottomed at 268 for a conventional 30year fixed rate mortgage inHere is the  to our chart illustrating the market capitalization of the US new home market since January 1976The next two charts show the latest changes in the trends for new home sales and A rising trend for new home salesNew home prices trending downwardWhile September 2023s market cap is approaching the nominal noninflation adjusted peak from the housing bubble days of the early 2000s it falls far below when inflation is taken into account In terms of September 2023s US dollars the housing bubble era peak is the equivalent of 488 billion In real terms todays new home market is much smallerOn the plus side for the US economy new home sales contribute  to the nations Gross Domestic Product The rising trend for the new home market cap has been contributing a tailwind to the US economy since September 2022US Census Bureau New Residential Sales Historical Data Houses Sold  Accessed 26 September 2023US Census Bureau New Residential Sales Historical Data Median and Average Sale Price of Houses Sold  Accessed 26 September 2023 The summary bullets for this article were chosen by Seeking Alpha editors,0,2023-10-26,7,-0.4019,0.0
8,8,U.S. Recession Probability Starts To Recede,The probability the US economy will experience an official period of recession has begun to recedeThose odds peaked at the time of our  just before the US Federal Reserve  it would hike theBut despite that increase the probability of recession began to fall as longerterm interest rates have risen As measured by the spread between constant maturity 10year and 3month US Treasuries the treasury yield curve has become less inverted in the weeks sinceThat reduced inversion is why the odds of recession have receded Heres the latest  to the Recession Probability Track visualizing these latest developmentsThe Recession Probability Track shows the current probability of a recession being officially determined toWith the recession probability starting to recede without a recession having been declared it might seem as if the US economy could escape a period of contraction Such an outcome would be an exception however Historically the Recession Probability Track has peaked and begun to recede ahead of any recession declaration by the NBER The event often marks when its time to start the recession announcement countdown clockBut not always There have been exceptions in the past The questions that matter now is will this be one of them and how confident are you of that possibilityThe Recession Probability Track is based on Jonathan Wrights  which factors in the onequarter average spread between the  and the corresponding onequarter average level of the  If youd like to do that math using the latest data available to anticipate where the Recession Probability Track is heading we have a  to do the mathWell continue to follow the Federal Reserves Open Market Committees  in providing updates for the Recession Probability Track until the US Treasury yield curve is no longer inverted Or rather until the interest rate yield on the 3month constant maturity US Treasury is no longer higher than the yield on the 10year constant maturity US Treasury The summary bullets for this article were chosen by Seeking Alpha editors,24,2023-09-19,3,-0.9664,-0.7777777345679036
9,9,S&P 500 Mostly Unswayed By Geopolitics,Considering the outbreak of geopolitical events in the past week it may be surprising that the SP 500 Index  end the week higher than it closed in the previous week The index rose 045 to end the trading weekThats not to say there is no effect Given a consumer price inflation report that wasnt negative enough to force the Federal Reserve to resume hiking interest rates on Thursday and the strong earnings reported by US banks on Friday theres a good argument to be made that stock prices should have risen higher The increased tensions in the Middle East as Israel responds to Hamas 7 October 2023 invasion and massacre may perhaps be constraining what should otherwise have been a much better week for stock pricesBut theThe fingerprints of geopolitics are legitimately showing up in the marketmoving headlines of the past week Heres what the random onset of new information looked like for investorsThe CME Groups  projects the Fed will hold the Federal Funds Rate steady in a target range of 525550 through May 2024Q2 unchanged from last week Starting from 12 June 2024Q2 investors expect deteriorating economic conditions will force the Fed to start a series of quarterpoint rate cuts at six to twelveweek intervals through the end of 2024The s forecast of annualized real growth rate during 2023Q3 increased to 51 from the preceeding three weeks 49 The socalled Blue Chip Consensus estimates range from a low of 15 to 39 with a median estimate of 29 The summary bullets for this article were chosen by Seeking Alpha editors,0,2023-10-16,2,0.93,0.0
