,title,content,comment,date,category
0,Legendary Investor Says Buy Commodities: Our Top Picks,Legendary investor Jim Rogers  sounded the alarm bells for investors on the dollar and advocated investing in commodities In this article we will explore the key points raised by Jim Rogers share our own thoughts and also share a few of ourJim Rogers based part of his bullish outlook on commodities on the dire state of the United States financial health stating that the nation has become the largest debtor nation in the history of the world The alarming level of US debt has raised questions about the nations economic stability moving forward and Rogers emphasized that no nation in history has amassed such debt without negative consequencesHe pointed to historical cycles noting that no currency hasStill with the US government saddled with debt it is inevitable that eventually the dollar will have to be devalued and ultimately face its demise as the worlds reserve currency This paints a bullish picture for real assets like commodities which tend to hold their value over long periods of time particularly relative to fiat currenciesIn addition to the inevitable demise of the dollar there are other macroeconomic reasons to be bullish on commodities For example Mr Rogers pointed out that many asset classes globally appear to be overvalued Stock markets worldwide are hovering near record highs bond markets are only now just beginning to unwind their massive bubble that formed due to historically low interest rates and real estate markets in numerous countries are showing signs of being in a bubble phase as well Amidst this backdrop of inflated assets commodities  particularly precious metals  stand out as undervalued assets right now As a result Rogers stated that commodities are currently the cheapest asset class he knows with silver and sugar in particular remaining significantly below their historical peak pricesAnother reason to be bullish on commodities ranging from agricultural products to silver to copper to energy is that the demands for these products is expected to soar in the coming years for a variety of reasons yet production of these assets has been  inWhen combined with the rapid economic development taking place globally with the relentless advance of technology and the overall growth of the global population the demand for commodities has never been greater even as its production appears to be laggingBeyond the macroeconomic factors there are also geopolitical catalysts for commodities In times of economic turmoil and geopolitical unrest precious metals like gold and silver tend to outperform traditional stocks With the possibility rising of a significant global conflict involving the worlds largest economies the United States China and Japan as well as possibly other major economies like South Korea Great Britain France and Germany and major commodity suppliers like Russia Iran Saudi Arabia Canada andor Australia the appeal of these safehaven assets could intensify in the coming yearsSuch a conflict  especially if it involved the semiconductor production capital of the world Taiwan  could have farreaching economic implications with estimates suggesting immediate damages of 26 trillion and potential global depression In such a scenario the confidence in the US dollar might erode rendering gold and silver even more attractive as safehaven assetsAdditionally commodity supply chains could be significantly disrupted causing the prices of commodities like food energy and even copper and other industrial metals to soarWith so many potential tailwinds for commodities right now and their valuations in general not appearing to be in any way at bubble levels the riskreward profile for the sector is generally quite attractive With that said how should investors consider gaining exposure to the sectorOne popular approach is through exchangetraded funds or ETFs Some of the most popular ones includeWhile there are a plethora of other commodities ETFs this list should give you a rough idea of what is available for investors who want to take a more passive andor diversified approach to investing in the sectorWhile ETFs can be a good approach and we ourselves invest in some ourselves we prefer investing in individual stocks that pay out attractive dividends whenever possible For this reason we have significant exposure to energy through high yield investment grade midstream infrastructure  stocks like Energy Transfer  and Enterprise Products Partners  among othersWe also have significant exposure to precious metals copper and other base metals by investing in a variety of miners  at various times depending on the current state of markets Some miners we either hold at present or have held in the past include Rio Tinto  Southern Copper Corp  Barrick Gold  and Newmont Corp Finally a great way to gain access to agricultural commodities is through buying either farmland REITs   or through buying shares of major fertilizer companies such as Nutrien By investing in these companies investors can gain attractive leverage to commodities prices since these commodities businesses often see their profits rise and fall at multiples of the change in price of their underlying commodities Moreover they generate cash flow that they return to shareholders resulting in the benefits of steady passive income along with potentially outsized longterm returns as commodity prices possibly soar higher in the years to come  Samuel Smith is Vice President of Leonberg Capital he has a diverse background that includes being lead analyst at several highly regarded dividend stock research firms He is a Professional Engineer and Project Management Professional and holds a BS in Civil Engineering  Mathematics from the United States Military Academy at West Point and has a Masters in Engineering   Past performance is no guarantee of future results No recommendation or advice is being given as to whether any investment is suitable for a particular investor Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole Seeking Alpha is not a licensed securities dealer broker or US investment adviser or investment bank Our analysts are third party authors that include both professional investors and individual investors who may not be licensed or certified by any institute or regulatory body,29,2023-10-13,2
1,Crude oil ramps higher as U.S. forces thwart attacks; U.S. plans oil purchase for SPR,Crude oil prices jumped in afterhours electronic trading Thursday with WTI benchmark prices topping 90bbl as Middle East tensions The US military reportedly intercepted two separate drone strikes in Syria hours after the US Navy shot down three missiles andThe attacks were part of a spate of incidents over the last 48 hours in which drones have targeted US forces in Iraq and SyriaUS officials have warned about such attacks as the conflict rages in Israel and GazaSeparately the US Department of Energy said it will seek to  through at least May 2024 starting with a solicitation for as much as 6M barrels of oil for delivery in December and JanuaryWTI frontmonth November crude  currently  to 9037bbl and December Brent crude   to 9326bbl after posting smaller gains in the regular trading sessionETFs          Oil futures had started with losses Thursday following a US agreement to ease sanctions on Venezuela including a sixmonth general license that would temporarily authorize transactions involving Venezuelas oil and gas sectorThe relaxation of sanctions came after Venezuelas Maduro government and an opposition group reached an agreement to work together to reach a series of basic conditions for the next presidential electionOPEC sources told Reuters the easing of US sanctions on Venezuela would  by the group for now as a recovery in production likely would be gradualAnalysts say the country needs several items to gain become a relevant oil exporter including dozens of drilling rigs billions of dollars in infrastructure replacements for refineries flow stations and crude upgraders and a reliable power supply,155,2023-10-19,2
2,"Crude oil climbs after Gaza hospital blast, Biden summit meeting canceled",Crude oil futures rise after  in a blast at a Gaza hospital Tuesday that Palestinians blamed on an Israeli air strike and Israel blamed on a failed rocket launch by Islamic JihadPresident Bidens proposedThe tragedy and the resulting diplomatic setback have lifted crude oil futures with frontmonth November WTI crude   to 8810bbl and December Brent crude   to 9091bbl after both benchmarks had closed regular trading little changedOil prices had pulled back Monday as diplomatic efforts aimed at containing the IsraelHamas conflict accelerated and reports that the Biden administration and Venezuelas government agreed to a deal in which the ETFs          Saudi Aramco  is able to ramp up oil production capacity  if needed as global demand continues to rise CEO Amin Nasser said Tuesday at the Energy Intelligence Forum in LondonNasser said Aramcos  spare production capacity is now at 3M bblday 3 of global demandThe CEO also told the conference that the COP28 UN climate conference late next month  from hydrocarbons not cutting productionRenewables alone cannot fully handle global energy demand Nasser said adding that cuts to oil and gas production would result in energy shortages and price spikes,100,2023-10-17,2
3,Is It Time To Load Up On UCO?,Crude oil remains the energy commodity that powers the world While the US and Europe address climate change with support for alternative and renewable fuel sources China and India the worlds most populous countries continue to depend on fossil fuels for power Moreover while the number ofNearby NYMEX crude oil futures fell from 13050 per barrel the highest price since 2008 in March 2022 to 6357 per barrel at the May 2023 low Since May crude oils price has turned higher and eclipsing a critical technical resistance level could mean higher prices and a move to triple digits is on the horizon The Bloomberg Ultra Crude Oil 2X ETF  turbocharges returns when crude oil prices moveOn Aug 7 nearby NYMEX crude oil futures prices traded to an 8330 per barrel highAs the 10year chart highlights the continuous contract NYMEX crude oil prices have been in a bearish trend of lower highs and lower lows since reaching a 14year high at 13050 per barrel in March 2022 The most recent lower high was 8353 per barrel in April 2023 A move above that price would end the bearish pattern and could cause trendfollowing buyers to descend on the crude oil marketAs of July 28 the US Strategic Petroleum Reserve stood at 3468 million barrels In late 2021 the SPR held over 600 million barrelsWhen Russia invaded Ukraine oil prices spiked higher The Biden administration addressed soaring oil and oil product prices by releasing and selling unprecedented SPR crude oil supplies to cap prices and send them lower The strategy sent crude oil below 64 per barrel at the May 2023 lowIn October 2022 the administration published a stating  The weekly chart shows crude oil prices fell into and below the administrations target range in March May and June 2023 Meanwhile the administration continued to sell crude oil during the period causing the SPR to drop to a fourdecade lowThe administration missed a golden buying opportunity with WTI crude oil prices above 80 per barrel on Aug 7 As prices moved into a shortterm bullish trend the SPRs low level means the administration does not have the same ammo to combat rising oil prices if they rise to 100 per barrel or higher Time will tell if the price action over the past months was a missed opportunityThe following factors have caused WTI crude oil prices to rise from the May 6357 per barrel low over the past weeksThese factors support higher oil prices over the coming weeks and months If prices continue to rise the US SPRs low level means the administration cannot release crude oil into the market to suppress prices without allowing the strategic reserves to fall to a dangerously low levelThe chart of the active September WTI crude oil futures contract shows the nearly 30 rally from the May 4 6421 low to the most recent Aug 7 8330 high After consolidating between 70 and 75 per barrel throughout May and June crude oil took off on the upside in July and continued to make higher highs in early August The trend is always your best friend in any market and crude oils path of the least resistance has been higher over the past weeks posting six consecutive weekly gainsAs of July 31 2023 UCOs top holdings includedSeptember NYMEX crude oil futures rose 297 from the May low to the August highThe chart shows that UCO moved 472 higher from 2141 on May 4 to 3152 per share on Aug 4 While UCO delivered less than double the percentage rise in the September futures it provided a leveraged return The drawbacks of UCO areThe  is one of the most comprehensive commodities reports available today from a topranked author in commodities forex and precious metals My weekly report covers the market movements of over 29 different commodities and provides bullish bearish and neutral calls directional trading recommendations and actionable ideas for traders I am offering a free trial and discount to new subscribers for a limited time Andrew Hecht is a 35year Wall Street veteran covering commodities and precious metals  The author always has positions in commodities markets in futures options ETFETN products and commodity equities These long and short positions tend to change on an intraday basis Past performance is no guarantee of future results No recommendation or advice is being given as to whether any investment is suitable for a particular investor Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole Seeking Alpha is not a licensed securities dealer broker or US investment adviser or investment bank Our analysts are third party authors that include both professional investors and individual investors who may not be licensed or certified by any institute or regulatory body,9,2023-08-07,5
4,Energy stocks sink as crude oil drops to four-week lows,Energy  is by far the worst SP sector performer in Wednesdays trading  pressured by a pullback in crude oil prices to the lowest levels in four weeksCrude oil fell early following news that Saudi Arabia as expected affirmed its planUS crude stocks fell by 22M barrels to 414M barrels in the week ending September 29 but stocks at the Cushing Oklahoma storage hub rose for the first time in eight weeks according to the EIA are creeping back in the marketplace Spartan Capitals Peter Cardillo said of crude oil markets Global macroeconomic headwinds and rising yields suggest the price of oil may have reached a shortterm peakWTI crude oil  for November delivery currently  to 8504bbl and December Brent crude   to 8683bbl both at their lowest levels since early SeptemberNovember gasoline futures  recently traded  to 2232gal the lowest since January while November heating oil  was  to 305galETFs                  Oil refiners are among the sectors largest losers including PBF Energy   Phillips 66   Delek US Holdings   Marathon Petroleum   Valero Energy  Also showing up among the SP 500s biggest decliners NOV   APA Corp   Marathon Oil   Devon Energy   Occidental Petroleum   SLB   Pioneer Natural Resources   ConocoPhillips   Diamondback Energy   EOG Resources   Halliburton  ,149,2023-10-04,5
5,"USO, the largest oil ETF, restructures its investment strategy",United States 12 Month Oil Fund LP ETF USL 78 YTDInvesco DB Oil Fund ETF DBO 88 YTDUnited States Brent Oil Fund LP ETF BNO 62 YTDProShares Ultra Bloomberg Crude Oil ETF UCO 63 YTDProShares UltraShort Bloomberg Crude Oil ETF SCO 22 YTD,10,2023-08-28,5
6,Intercontinental Exchange: Better Valuation When Considering Its Data Edge,With aboveaverage profitability growth revision and momentum  Intercontinental Exchange Inc  is also heavily overvalued as shown below in redHowever much of the data used in valuation comes from accounting books as I will elaborate uponICE basically runs exchanges and marketplaces for commodities and financial products by providing the required infrastructure and technology solutions while not forgetting the data that goes with it For this purpose it is structured into three business  Exchanges Fixed Income and DataThe first two as pictured below recorded revenue growth of 9 and 6 respectively during the second quarter of 2023 Q2 financial results while Mortgage Technology regressed by 16 Despite this counterperformance overall revenues of 19 billion constituted an 8 YoY progression while EPS outperformed Q22022 by 14 According to the management this resulted in the  Q2 in the companys historyLooking for the underlying reasons transaction revenues were up by 12 for the Exchanges segment mostly driven by energyrelated sales more specifically in natural gas Additionally rapid progress was made in crude oil  like Brent and WTI with ADV average daily volumes going up by 26 YoY in Q2 Now traders generally follow the price of oil through the WTI or Brent Crude oil futures contracts but  these there is ICE In addition to energy it is also one of the largest operators of derivatives markets where future contracts for all types of underlying assets like currencies and precious metals are tradedFurthermore the company possibly owns the largest networks of exchanges and clearing houses for financial and commodity markets in the US Europe and some other parts of the world and had it not been for weakness in the listing business due to lower MA activity this year by results would have been strongerMoving to Fixed Income and Data Services this segment also includes a basket of facilitation tools for ease of issuance and redemption of bond ETFs Interestingly these include a chat offering ICE Chat that makes use of large language models LLMs but which are proprietary to ICE and are available to selected clients unlike  ChatGPT which is widely available through the public cloud Moreover the ICE Chat platform has benefited from higher demand after the popularization of Generative AI by ChatGPT and this has translated into a  increase in the volume of energyrelated transactionsThe Data Services business also makes use of  in order to offer products like endofday evaluated pricing and liquidity indicators used by bond ETF issuers in order to make realtime decisions ICE makes this feasible by integrating data from hundreds of sourcesTherefore this is a company that has attained a high level of product differentiation not only through networking with different stakeholders in the financial world but also by the way it processes and provisions data Looking across the industry it competes with the Nasdaq and local exchanges in other parts of the world As for the Chicago Mercantile Exchange  it focuses more on trading financial instruments  to commodities futures and options including agricultural products for ICE whose leading market indices are used across multiple asset classes covering derivatives credit and OTC securitiesTherefore the Atlantabased company faces competition and operating margins staying in the 495 to 515 range during the last five years show the company has to spend considerably on operations both to make sure that it has the best talents across the financial space and the technology to support its data platforms As a result it is able to rapidly leverage data in all aspects of operations and should be valued accordinglyNow ICE is richly valued based on metrics that originate from the financial statements income balance sheet and cash flow and to factor in the data assets I will use the stock price and book value per share as per the charts belowFirst looking at the stock price it dropped from around 136 to less than 95 in the first half of 2022 during a downside that is even more pronounced than during the Covid market crash This is partly explained by the high level of debt in May 2022 contracted for the  acquisition in a deal valued at over 13 billion given at that time that ICE only had around 638 million in cash and was already highly indebted at above  Even the company divesting its 985 stake in Euroclear a European company providing posttrade securities settlement and custody management services did little to calm the marketNow this acquisition which has recently obtained the goahead of the  represents a milestone for ICE as it not only reinforces its position in the data analytics business but also extends its integrated software capabilities for the mortgage industry However this seems to be ignored by the market as the book value per share in the orange chart above now trends higher than the share price after the May 2022 reversalAt the end of Q2 the ratio of the share price to book value per share was about 27 as per the table below This ratio was 246 at the end of 2022 but above 3 for the period beforeDetailing further the book value is based on accounting data from a companys balance sheet and provides the difference between assets and liabilities at a specific point in time As such it is a more historical measurement of value than the share price which is related to the actual market cap Now a ratio of less than 3 is illogical as the value of the data assets analytics LLMs exchange data are not priced inTo address this discrepancy based on a historical ratio of 3 I have a target share price of 12762 obtained by multiplying the book value per share of 4254 by three This is 1745 above the current share price of 11017 and is below Wall Streets average price target of  but this still constitutes a fair target as it also takes into consideration macroeconomic uncertaintiesThese uncertainties have adversely impacted the Mortgage Technology business whose revenue regressed as mentioned earlier In this case the company has suffered from the unprecedented pace at which interest rates have been hiked by the Federal Reserve since March of 2022 This has in turn propelled borrowing costs higher with the US average 30year fixed rate mortgage now above  resulting in fewer people contracting new loans for purchasing new homesTalking figures the industry has suffered from a 40 fall in origination volumes and this could continue given that during the last FOMC meeting the tone was hawkish or to maintain  rates for longer Therefore in the event that the Federal Reserve raises rates the stock could experience a high degree of volatility given that ICE will now have higher exposure to the mortgage business with the Black Knight acquisitionStill the fact that the  business declined by 16 instead of 40 as for the industry shows some resiliency which the management attributes to recurring revenues making for nearly  of segmental sales and strength in the Encompass loan origination software system with analytical data usage growing at double digits on a yearonyear basisThis again validates the data asset rationale especially for Mortgage Technology which has been able to partially mitigate the adverse impacts of higher rates better than competitors which is helping to win outsourcing business from top banks as they reduce legacy costs by migrating to the ICE Mortgage Technology platformThinking aloud market positioning in the mortgage industry could be enhanced by additional market share gained through the Black Knight acquisition with 125 million of revenue synergies expected by year five of the closing of the deal or 2028 More is expected in terms of cost synergies or 200 million Noteworthily these synergies remain intact despite Black Knights Optimal Blue business being acquired by Constellation for 700 million as part of a regulatory requirementIn conclusion this thesis has shown that ICE is taking advantage of data not only through analytics to be more knowledgeable about its customer base and target them with more appropriate product offerings but also by improving customer interaction through ChatGPTstyle communication tools In addition it is also in the business of selling processed dataThis way of leveraging data deserves higher valuations and I have a target of 127128 but investors should be aware that the markets could be volatile in the coming weeks as there are  of a government shutdown in case funding is not obtained in time while investors are still digesting the higher for longer narrative Thus with its role as a service provider both for lenders and investors in the homeownership space ICEs stock could be impacted  This is an investment thesis and is intended for informational purposes Investors are kindly requested to do additional research before investing Past performance is no guarantee of future results No recommendation or advice is being given as to whether any investment is suitable for a particular investor Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole Seeking Alpha is not a licensed securities dealer broker or US investment adviser or investment bank Our analysts are third party authors that include both professional investors and individual investors who may not be licensed or certified by any institute or regulatory body,8,2023-09-26,7
7,Oil prices pop after Hamas attack on Israel but analysts foresee limited gains,Crude oil and gold futures bump higher Sunday night in response to the  which has caused the death of at least 700 Israelis so far and the abduction of dozens of Israeli citizens and soldiersWTIETFs                     Analysts generally expect a  in crude prices but limited gains thereafter provided the conflict does not expand into a regional war  which is far from certain since the fighting is on the doorstep of an important oilproducing and exporting regionIf Iranian involvement in the attack is affirmed the US could increase enforcement of sanctions on Irans crude exports which recently have moved back toward pre2018 levelsSaudi Arabia is not expect to slow oil production in solidarity with the Palestinians but the war could derail normalization talks and cancel any additional Saudi oil flows that may have resultedBut if Israel were to strike any Iranian infrastructure crude oil prices  on the perceived risk of a disruptionAnalysts also say the conflict could cause  like gold and the dollar and potentially boost demand for US Treasuries which have been selling off sharplyEarly readings indicate losses for the stock market when trading opens Monday with SP futures  the bond market will be closed Monday for Columbus Day,222,2023-10-08,2
8,U.S. crude oil hits highest since November as inventories drop to YTD lows,US crude oil futures surge nearly 4 Wednesday reaching new highs for the year after data showed a larger than expected drop in US crude supplies last weekWTI crude oil  on Nymex for November delivery traded ETFs                 The Energy Information Administration reported US crude inventories  last week to 416M barrels the lowest total since December 2 2022 and are now 4 below the fiveyear averageGasoline inventories rose by 1M barrels to 220M barrels and distillate stocks increased 400K barrels to 120M barrels  still 13 below the fiveyear average  but crude oil at the Cushing Oklahoma delivery hub fell 900K barrels to 22M the lowest total since July last year have been cited as a factor in WTIs rally and driving the oil market into backwardation the November WTI contracts premium over the December contract Energy  is easily the days leading sector performer comprising at least 11 of the top 15 gainers on the SP 500 Marathon Oil   APA Corp   Occidental Petroleum   Hess   Devon Energy   ConocoPhillips   Pioneer Natural Resources   Halliburton   Diamondback Energy   Coterra Energy   Targa Resources  Industry giants Exxon Mobil  and Chevron   and  respectively also are helping the group extend its September advance to more than 4 compared to a 53 SP 500 loss so far this month,150,2023-09-27,5
9,Crude oil climbs 3% as Israel expands Gaza ground operations,Crude oil futures rose Friday to their highest levels of the week a day after marking their lowest finish in two weeks as the Israeli army said it is  amid intensifying airstrikesThe expansionEarlier US warplanes carried out strikes in Syria in response to attacks on American troops and Iran held army drills and said the US would not be unaffected if the conflict widensSince the October 7 Hamas attack on Israel financial markets have been volatile on Fridays as traders try to gauge how to position ahead of the weekendFrontmonth Nymex crude  for December delivery jumped 28 on Friday but finished  for the week to 8554bbl and frontmonth December Brent crude  popped 29 Friday while ending  to 9048bbl on the weekFrontmonth Nymex natural gas  for November delivery fell 15 Friday to settle  for the week to 3164MMBtuETFs                Oil prices are at the mercy of the next headline Price Futures Group analyst Phil Flynn told Reuters adding that An Israel ground invasion into Gaza will  Zaye Capital Markets chief investment officer Naeem Aslam told MarketWatchGoldman Sachs analysts retained their Q1 2024 Brent crude price forecast at 95bbl but noted that lower Iranian exports could cause baseline prices to rise by 5The energy stock sector represented by the Energy Select Sector SPDR Fund  suffered its worst weekly showing since March Top 5 gainers in energy and natural resources NextEra Energy Partners   Navios Maritime Holdings   Nordic American Tanker   Teekay Tankers   Sigma Lithium  Top 10 decliners in energy and natural resources American Battery Technology   Chart Industries   Calumet Specialty Products Partners   Nouveau Monde Graphite   US Goldmining   Atlas Lithium   NuScale Power   Bloom Energy   Skeena Resources   Chevron  Source Barchartcom,41,2023-10-27,2
