,title,content,comment,date,category
0,Adyen Stock: Bear Cases And Blind Spots,About two months ago I wrote an article titled  I put my money where my mouth is and I have done what I wrote in the titleAs Im writingTo the subscribers of my Investing Group I wrote this about the stock slump this morningBut I want to remain very critical even more so now that I have bought a substantial position Thats why I wanted to write this article In this article I look at the bear cases and my own blind spotsBefore we go to the rest of the article though I want to explain the value proposition and the business model of Adyen once moreLets look at a company like Nike  one of Adyens customers As you probably know Nike sells products all around the world both online and offline Up to now Nikes POS pointofsale system is using many different playersAs you can see this is a complex system Nikes payment system is all over the world and therefore it uses dozens of different players for different parts of the payment processIn comes Adyen to help Nike This is how Nikes payment process looks after it became an Adyen customerAs you see the merchant and the cardholder are now connected through only Adyen and the schemes I think you can imagine that Adyen will be cheaper for Nike if this can be done especially because it can implement this worldwide Instead of all the different parties which all want their fee Nike has only to work with one AdyenThat also means that Nike will channel more and more of its business to Adyen over time New stores immediately implement Adyens POS but older ones still have to switch Thats why 80 of Adyens growth comes from existing customers who streamline their payment processOn top of that and also very important in the first situation without Adyen its almost impossible for Nike to have an overview of its customers through payments With Adyen that is not only possible but easy and datarichWhat you also shouldnt underestimate is the different payment methods that are popular in different countries If you are not Dutch for example you will probably never have heard of iDeal but it has a market share of 70 for online payments in the Netherlands Theres Alipay  Mercado Pago  and many other ways to pay around the world For every method in every country new intermediaries have to be set up For Nike its much easier to just go to Adyen which has this set up already and Nike can just plugandplay as it wereI hope you see the strength of Adyens business Its not just something that can be replaced easily once customers are on board especially not because its more expensive than just staying with AdyenAt the same time as Adyen has become a much bigger position now I dont want to be a victim of some investment biases There are several that could be working hereRecently I  this on X formerly Twitter1 2 3 and 5 may be applicable here while many investors will struggle with 4 Their recency bias will let them think the stock cant go up anymore Thats what often happens when a stock is up people think it cant go down When its down they think it cant go up Thats recency bias in full swing I can say without blinking that I have no real problem with this bias when it comes to my own mindsetI think that I have to be careful with the four other biases though And thats the reason for this article I want to be critical about Adyen before I add even more to my position After all I could be wrong rightConfirmation bias means you only look at what you want to see at what confirms your beliefs Therefore I want to look at the bearish arguments I have seen and weigh them  I can only agree that the stock price could drop more but that is always the case for any investment If you are a trader or a market timer this is very important to you but thats not me I invest and if my thesis plays out I want to hold on as long as possible I probably dont need the money for the next 20 yearsIn other word,75,2023-10-26,7
1,Does A Blowout Third Quarter GDP Number Vindicate Bidenomics?,On October 26th the first calculation of third quarter US Gross Domestic Product will be released by the Bureau of Economic Analysis The most recent Bloomberg forecasts show a substantial increase over theThe mean of current projections for tomorrows third quarter GDP release is 34 percent with a median of 35 percent drawn from 73 forecasts ranging from 003 percent to 54 percentThe Federal Reserve Bank of Atlantas GDPNow estimate as of today is 54 percent If realized the Bloomberg mean estimate would represent a 62 percent jump over the second quarter reading the Atlanta Feds number a leap of 157 percentIf the third quarter GDP number were to come in at 45 percent or higher it would be the highest quarterly return sinceMore important than historical comparisons though would be answers to the following questions Where in the components of GDP would such strength be coming from especially considering that Fed rate hikes are beginning to exert a decelerating effect on the US economyIs it a consequence of policy or random economic interactions at the micro meso and macro levels And does such a bounce in GDP portend a return to robust economic output or a capricious insignificant surgeIt is difficult to say in advance But several factors behind the estimates for a strong third quarter number are likely among the indexs constituents US consumers have continued to buoy the US economy as evidenced by the strength of discretionary spending on the  and  films the  and  tours and  have also been rising as well most recently owing to firms stocking up on supplies in anticipation of broadening labor unrestThe balance of US exports and imports will factor in but other than a  since July 2023 which drags on US exports while increasing the marketability of imports those numbers tend to be volatile from one quarter to the next and thus difficult to predictAnd private nonresidential fixed investment which alongside consumption was the other  to the prior GDP release is likely to play a significant role in tomorrows number as taxpayerprovided subsidies from the  the  and the  continue to flowIf the bottom line third quarter GDP number shakes out as the Feds GDPNow and Bloomberg survey are hinting and the elements listed above are the cause consumption private nonresidential fixed investment private inventories and perhaps some help from trade it is probably not indicative of a renewal of strong economic growthOther than the three federal spending laws which are legislatively engineered to disburse government funds at regular intervals providing an ongoing business spending boost to the US economy through the 2024 election cycle the remainder of the factors are fickleConsumers still spending have eaten through their pandemic savings are borrowing at rates not seen in 40 years and face both contracting credit and the return of student loan paymentsThe end of federal child care subsidies and mortgage rates at quartercentury highs are adding to spending headwinds American consumption has been impressive and somewhat mysterious of late but cannot continue indefinitelyAccumulated private inventories will either be sold or drawn down once the latest wave of labor activism subsides Government spending is likely nearly the same from the second to the third quarter and the impact of trade remains to be seenBehind all of these questions  if indeed a blowout third quarter US GDP number appears tomorrow morning  is a weightier issue How will the Fed respondA strong GDP number is likely to send Treasury bond yields up in anticipation of another rate hike possibly dragging the 10year note back above 5 percent Whatever the specific sources within tomorrows GDP an overall increase by the estimated magnitude is likely to motivate the Fed to intensify its efforts redoubling its contractionary policy biasOnce more its important to note that this is an anticipatory scenario,4,2023-10-25,3
2,"Extreme Weather Is Making Major Trade Routes Less Reliable, And It's Only Going To Get Worse",Waterways have always been crucial for transport Theyre a cheap and environmentally friendly waySeveral regions across the world including parts of the Southwestern and South Central US Chile Southern and Western Europe and North Central China saw belowaverage annual precipitation last year leading to driedout soil and lower streamflow and groundwater In Europe for example this led to the Rhine  one of the busiest waterways in the world  having a water level of less than 135cm at the Kaub gauging station in Germany on 154 days in 2022 The 135cm mark is what large container ships need to navigate the river This figure has trended upwardFrom here on out the outlook isnt shaping up to be a particularly rosy one with the discharge volume of the Rhine depending heavily on meltwater which is quickly diminishing Swiss glaciers the source of the Rhine also lost 10 of ice volume in just two years according to the Swiss Academy of Sciences Structurally decreasing snow levels mean that water volumes turn more volatile and averages are generally set to trend down moving forwardAlongside important navigable rivers including the Mississippi in the US the Yangtze in China and the Amazon in Brazil one of the most important international waterways  the Panama Canal  has been hit by a severe drought over the course of 2023 The 80 kilometrelong canal connects North and South America and is the most important trade route for the movement of goods between Asia and the east coast of the US handling about five percent of total world trade volume per year Since the canal is designed as a lock system each ship that passes through the canal requires about 200 million litres of fresh water which is roughly equivalent to the household water use of 4500 inhabitants in European countriesLow water levels lead to capacity reduction on ships surcharges rising transportation costs and delays For example the Panama Canal is currently only navigable with a reduced ship weight and a limited number of ships From 1 November only 31 ships are allowed through the canal per day compared to usually 3638 ship crossings daily The Canal authorities decided to extend the passthrough restrictions until mid2024 On top of this theres also a depth limitation for vessels 44 feet or 135 metres which leads to lower loading capacity AsiaUS container spot rates  under heavy pressure from excess capacity and faltering world trade growth  at least showed signs of a revivalDevelopment port to port containerised freight tariffs in US per FEU 40ft containerIn Europe shipping costs on the Rhine spike each time there are periods of extremely low water as capacity is instantly reduced Shipping contracts usually contain low water clauses that provide a graduated surcharge when levels drop eg below 150cm at the Kaub measuring point along the Rhine Prices are usually subject to a graduated surcharge the lower the water level the higher the surcharge Dutch inland waterway transport costs for shippers which cover roughly half of the Rhine bed traffic rose by 52 in the fourth quarter of 2018 compared with the previous year and by 76 in the third quarter of 2022 Worryingly these costs increase with each low water periodPrice developments in Dutch inland navigation Index 2015  100Low water levels inevitably result in delays In the US extremely low water levels in the Mississippi River  which is critical for the transportation of agricultural commodities like grains and draining about 40 of the continental US area  logjammed more than 100 towboats in 2022 and led to loading reductions and significant delays for barges This year shippers have once again faced delays and higher rates threatening the harvest season Water levels of the Amazon fell to century lows in midOctober 2023 damaging the ecosystem and also disrupting cargo flows up the inland port of ManausFrom a macroeconomic point of view the di,6,2023-10-10,3
3,China Curbs Exports Of Battery-Making Graphite As Global Tech War Escalates,Citing national security concerns Beijing said onUnder the new restrictions China will require exporters to apply for permits to ship two types of graphite including high purity highhardness and high intensity synthetic graphite material and natural flake graphite and its productsMeanwhile it dropped temporary controls on five less sensitive graphite items used in basic industries such as steel metallurgy and chemicalsChina dominates global supply chains of graphite the raw material essential for EV batteries Graphite demand is expected to riseThe EU listed natural graphite as a critical raw material in 2020 The US also considers it to be a critical and strategic mineralBeijings move comes days after Washington tightened controls on exports of semiconductors to China including stopping sales of more advanced artificial intelligence chips made by Nvidia The EV supply chain has become a source of escalating feud between Beijing and the West Last month the European Union said it was weighing levying tariffs on Chinesemade EVs arguing they unfairly benefit from subsidiesChina dominates the global supply chain of critical minerals needed to make EV batteries from material processing to the construction of cell and battery components This is a result of Beijings early push towards electrification particularly through subsidising EVsThe curbs are similar to those placed in August on  key metals used to make semiconductors and electronicsExports of the two metals had surged before the controls went into effect but have fallen in recent months Meanwhile prices outside China have increasedChina is the worlds top producer and exporter of the mineral It also refines over 90 of the worlds graphite into the anode material used in EV batteries Top buyers of graphite from China include the US South Korea Japan Poland and India Chinese Customs data showsGraphite can be found naturally or produced synthetically Natural graphite is the mined graphite which is then processed into an enduse product that can be used in the battery industryNatural graphite is primarily mined in China and Mozambique Synthetic graphite is produced by utilising a carbon precursor product typically petroleum coke needle coke or coal tar pitch and made into graphite through a process called graphitisationA natural graphite anode generally benefits from smaller costs and lower energy consumption than a synthetic anode But synthetic graphite is popular thanks to its higher purity and most lithiumion batteries rely on it these daysOther countries that mine graphite include Brazil Mozambique Russia Madagascar Ukraine Norway North Korea Canada and IndiaIn 2022 China took the top spot by mining 850000 tonnes of the mineral accounting for 65 of the global total Brazil came a very distant second with 87000 tonnes while other countries mined significantly less according to the US Geological Survey USGSAfrica has been a recent focus for graphite exploration with projects under development in Madagascar Mozambique Namibia and TanzaniaUkraine and Russia were among the top 10 producers of graphite before the conflict according to USGS In February last year Ukraine halted graphite productionOperations resumed in August however future production is uncertain as the conflict continues As well many countries have suspended trade relations with Russia which has removed supplies of Russian graphite from much of the global marketGraphite is the largest component by volume in an EV battery It makes up 9599 of the anode negative electrode material in lithiumion batteries in varying natural and synthetic combinationsIn lithiumion batteries graphite cannot be substituted as it helps improve electrical conductivity and acts as a host for lithium ions Cathode the other half of the battery constitutes lithium nickel and cobaltGraphite prices are likely to rise but Chinas latest move will also,13,2023-10-19,7
4,U.S. Retail Sales Confirms 4% GDP Growth Is On The Cards,The September US retails sales report was significantly better than expected posting a monthonmonth gain of 07 versus 03 expected while retail sales growth for August has also been revised higher to 08 fromWith the control group also looking strong at 06 MoM and this subset historically moving more in line with broader consumer spending trends it indicates we should be looking for thirdquarter GDP growth to be in the region of 4 Coupled with the recent strong jobs numbers and hot inflation it is no surprise that Treasury yields push higher While Fed officials may be coalescing around the view that further policy rate hikes may not be needed the prospect of interest rate cuts is in the faroff future and the yield curve needs to continue repricing for thatSo why have economists got it so wrong yet again Well the weakening trend we are seeing in consumer confidence is one factor as households continue to worry about the economic outlook and what might happen in the jobs market at a time when spending power is under pressure from lingering inflation Another reason is that the Bureau of Economic Analysis now publishes weekly credit card spending transaction usage and this was down sharply in September Given this is how most people typically spend money especially online this should give a good read through for general spending patterns For auto sales it will obviously be different but this discrepancy is surprising as it is doubtful we will all suddenly be using cash againWe continue to think that the constraints facing the household sector of falling real household disposable income reduced credit availability more and more households running down accrued pandemic era savings and the resumption of student loan repayments will eventually lead to weaker consumer spending numbers It isnt happening yet though and will mean market rates continue to move higher with mortgage rates car loans and credit card borrowing rates inevitably following suit which will only add to the headwinds for consumer spending as we move into 2024This publication has been prepared by ING solely for information purposes irrespective of a particular users means financial situation or investment objectives The information does not constitute investment recommendation and nor is it investment legal or tax advice or an offer or solicitation to purchase or sell any financial instrument ,10,2023-10-20,3
5,Adyen: Why I'm Buying With Both Hands,LastThe huge drop in Adyens share price was a real surprise I had already shared previously to my subscribers that it could be that the market would react negatively to Adyens hiring spree again just like it did in H2 2022 But I would never have guessed something like this would happenFor those who dont know Adyen its a payment provider that mainly focuses on huge customers such as Spotify Unlike other platforms the company has not stitched together several payment platforms to offer its services but has built everything from the ground up Thats why it also has the lowest cost to service its customers But because it also has a better product it usually charges a premium price That model was somewhat under pressure in the first half of this yearThese were the numbers Adyen reported for the first six months of 2023You can see these illustrated here  The company added this context for the EBITDA dropWhen it came to EBITDA the results were as I expected pressure on profitability because of the increased hiring spreeJust to remind you as I wrote  Adyen didnt hire much during the pandemic as it judged tech people were too expensive back then and they asked for too much stockbased compensation Now that so many big tech companies Meta Alphabet Microsoft etc have done layoffs Adyen started hiring at high speed to be ready for the next growth phase Of course that temporarily impacts profitabilityTo me this countercyclical move is a great example of longterm thinkingFor context Adyen is still hugely profitable with an EBITDA margin of 43 So its not as if the company sacrifices profitability for growth It invests some of its huge profitability to invest for the future Isnt what companies are supposed to doAdyen hired 551 fulltime equivalents of which 75 were in tech Adyen was disappointed that in North America it couldnt find enough affordable tech employees to reach its goals Especially for sales roles which also has tech people as they have to understand the needs of customers Adyen couldnt hire fast enough in the previous periods and thats one of the reasons why North American revenue only grew by 23The company has always said it sees longterm revenue growth of mid20 to 30 and EBITDA margins of 65 and it reaffirmed these goals for the mediumtermBefore we look at more details just this thought about the stock price drop firstIf you Google Adyens results you see thisThe reason is simple Up to this earnings release Adyen had to report gross revenue because of accounting standards It changed its terms and conditions and can now recognize revenue in another way Thats also why the net profit margin is up so muchAdyen has to pay other parties involved in the payment process Think of Visa  and Mastercard  but also banks etc Thats totally normal in payments but it doesnt give a clear picture Thats why Adyen has always reported Net Revenue to investorsHow much of the initial selling pressure has to do with this strange anomaly We all know bots are programmed to buy or sell if they see certain patterns A 78 drop in revenue is definitely one of those patterns The automatic selling then triggers stop losses and that can cascadeWe saw something similar for Globale  The company had fantastic earnings but the stock dropped by 15 The reason A data provider had switched Q2 2022 and Q2 2023 so instead of 53 up revenue looked to drop by 53 Of course the other things we saw at Adyen like the pressure on EBITDA because of accelerated hiring only fortified the bots Lets look at these things now investors saw was the  Just like in the previous quarter according to the companys plan Adyen continued adding employees at a fast pace Adyen also raised wages Just to make sure these are still much below Silicon Valley wages on average I think both are great and bashing Adyen for doing this is just plain shortsightedness Management sai,5,2023-10-17,1
6,Oil Rallies On Middle East Tension,Following Hamas devastating attacks on Israel over the weekend and the retaliatory actions taken by Israel in Gaza it is no surprise that the oil market opened stronger thisIsrael is a very marginal oil producer and so recent developments will have little direct impact on oil supply However given the rising tension in the region and the risk that the conflict could spread market participants will remain nervous until there is a clear deescalationLooking at the medium to longer term there hasWhile oil fundamentals have not changed since these attacks it does not mean they wont There are reports that Iran helped Hamas plan the attacks and gave them the green light If this is proven to be true we could see the US an ally of Israel taking a tougher stance against Iran which could ultimately lead to a reduction in oil supplyThe US administration has taken a much softer approach to Iran in recent months when it comes to sanctions While US oil sanctions against Iran remain in place they have not been strongly enforced This is evident by the growth in Iranian oil supply over the course of this year Output has grown from around 25MMbblsd at the start of the year to around 3MMbblsd currently The softer approach from the US is likely due to concern over rising energy prices However it would be difficult to see the US maintaining this stance if Iran is connected to these attacks whether directly or indirectly Enforcing these sanctions more strictly would mean the potential loss of at least 500MbblsdThe implication of losing this supply would be that the global oil balance would be tighter throughout 2024 At the moment we are assuming Iranian supply remains in the region of 3MMbblsd through next year but clearly there is downside risk to this given recent developmentsIf this loss materialises the surplus we currently forecast in 1Q24 would largely disappear leaving the market roughly in balance early next year For the remainder of 2024 we would see deeper deficits particularly over 2H24 Under this scenario there would be some upside risk to our current Brent forecast of US90bbl for next yearWe do not expect OPEC to adjust their output policy as a result of recent developments However if we were to see significant strength in prices ie Brent trading above 100bbl there is a possibility that Saudi Arabia would start to unwind their additional voluntary supply cut of 1MMbblsd These are levels where the Saudis would start to become increasingly concerned over the potential for demand destruction The summary bullets for this article were chosen by Seeking Alpha editors,233,2023-08-22,2
7,QQQM: Earnings And Economic Growth Will Fuel The Rally,In my last two articles published in  and  I suggested growth investors buy Invesco NASDAQ 100 ETF  to capitalize on the bull trend In this article I will discuss reasons why QQQM and growth stocksThe Magnificent Seven Apple  Microsoft  Alphabet   Amazon  Nvidia  Tesla  and Meta Platforms  have been key drivers of the SP 500s gains or losses over the lastMicrosoft generated earnings per share of 299 on revenue of 5652 billion in the September quarter significantly  expectations by 034 per share and 197 billion respectively Moreover Microsofts quarterly revenue is expected to hit a  level of 604 billion to 608 billion in the December quarter reflecting a nearly 10 sequential and 14 year over year Similarly Alphabet also topped expectations due to strong growth in Search and YouTube revenue which  11 and 12 year over year respectively Although investors reacted negatively to Alphabets miss on cloud revenue the doubledigit Search and YouTube revenue indicates the excellent overall health of the company and an improving broader consumer internet environment Alphabets overall revenue soared 11 year over year and earnings per share of 155 increased from 105 in the yearago period Its financial growth forecast also remains strong with doubledigit percentage growth for revenue and earnings in the following quartersMeta also  streetbeating revenue and earnings for the third quarter Its revenue of 34 billion surged 23 year over year and operating income jumped 143 to 1375 billion due to a 100 growth in operating margin Furthermore the company expects healthy sequential and yearoveryear revenue and earnings growth in the final quarter of 2023 It now projects fourthquarter revenue in the range of 365 to 40 billion compared to consensus for 3887 billion and up substantially from 27 billion in the yearago period The retailing behemoth Amazon generated thirdquarter revenue of 143 billion compared to the estimate of 140 billion while its earnings per share of 095 exceeded the consensus estimate of 060 It now expects fourthquarter revenue in the range of 167B up 11 compared to the yearago periodThe trend set by Microsoft Meta and Alphabet indicates tech demand and the internet environment have improved for the entire tech category Moreover communication companies in the cable and satellite movies and entertainment and telecom services industries also generated solid growth For instance Netflixs  global paid subscribers in the September quarter  108 year over year to 876 million topping consensus for 62 million additions As Netflixs revenue and margins improved its earnings per share of 373 also outperformed forecasts for 348 The telecom services company TMobile  topped expectations and raised its fullyear guidance on the back of strong subscriber additions Similarly Verizon  and ATT  also boosted their free cash flow guidance for the full yearFactSet  shows that the information technology communication and consumer discretionary sectors are likely to beat the rest of the SP sectors in the fourth quarter and fiscal 2024 Wall Street expects a 46 earnings growth for the communication services sector in the fourth quarter The consumer discretionary and information technology sectors earnings are expected to grow by 24 and 13 As shown in the above chart these three sectors are projected to extend earnings growth momentum into fiscal 2024Economic growth has always been crucial for corporate performance and investor sentiment Despite multiple rate hikes in 2023 the US GDP topped expectations with thirdquarter growth surging to 49 the highest growth since the fourth quarter of 2021 The economic growth in the third quarter was attributed to strong broadbased consumer spending US households continue to increase spending on necessities and luxuries while spending from businesses and ,5,2023-10-26,3
8,"ECB hikes rate another 25 basis points, trims economic growth projections",The European Central Bank raised its key policy rates by 25 basis points on Thursday as it repeated that inflation remains too high At the same time the ECB staff lowered its economic growth projections through 2025Like the USsThe central banks Governing Council said future decisions will ensure that the key ECB interest rates will be set at sufficiently restrictive levels for as long as necessary in its goal to get inflation down to 2 It also said it will remain focused on data to determine the appropriate level and duration of restrictive policyThe ECB staff now expects the euro area economy to grow by 07 in 2023 10 in 2024 and 15 in 2025The ECB staff macro projections for the euro area expect average inflation at 56 in 2023 32 in 2024 and 21 in 2025 Thats an increase in projections for 2023 and 2024 inflation mainly for higher energy prices and a downward revision for 2025The Governing Council the interest rate on main refinancing operations to 450 the marginal lending facility nterest rate to 475 and the deposit facility rate to 400Related ETFs        ,8,2023-10-09,3
9,CrowdStrike Stock: Growth Through AI,October is celebrated as Cyber Security Awareness Month known as CSAM Interestingly cyber security stocks are going up Is it just a coincidence Who knows But its definitely not the only reasonTwo different events occur with CSAMAdditionally nationstate attacks are attempting to attack critical infrastructure in Western governments The websites of the Belgian Prime Minister the Federal Parliament and the Royal Palace were cyberattacked by proRussian hackers for example probably as a reaction to the  to Belgium of the Ukrainian leader Volodymyr Zelensky and the Belgian decision to deliver F16 fighter jets to UkraineCrowdStrike One of the traits of CrowdStrike that Forrester recognized is the fact that CrowdStrike emphasizes preventing attacks from happening in the first place rather than cleaning up after a breach has occurredAt the same time you can see on the graph that this is a crowded space pun not intended with powerful players like Microsoft  Palo Alto Networks  and Broadcom  On the other hand there are up can coming companies like SentinelOne  and BitdefenderLets start by looking back at CrowdStrikes Q2 2024 results 2024 yes not a typo CrowdStrike is one of the companies that have a fiscal year one year ahead of the calendarCrowdStrike reported total revenue of 7316 million a 37 increase year over year ARR or Annual Recurring Revenue came in at 293 billion which means it was up 14 times in just five yearsIf you look at free cash flow shortened to FCF from now on you see 2274 million compared to 1575 million in the comparable quarter last year so its up 444 If you divide FCF by revenue 22747316 you get a 31 FCF marginThe Rule of 40 is a principle that states a companys combined revenue growth rate and profit should equal or exceed 40 Its a good measure stick for highgrowth companies especially in SaaS  Software as a Service As profit usually FCF is taken So 37 revenue growth  31 FCF margin means CrowdStrike scores 68 on the Rule of 40 Very impressive and even more so in these challenging timesMany highgrowth companies are finding it challenging to maintain high revenue growth but CrowdStrike has been able to deliver growth near 40 consistently since its Initial Public Offering CrowdStrikes last five years total revenue compound annual growth rate or CAGR is 69As CrowdStrike has grown it also has become more efficient Gross margins have climbed by more than 20 percentage points in the five years ended in fiscal 2023 and subscription gross margin clocked in at 80 in the first half of fiscal 2024I remain impressed with CrowdStrikes ability to keep crossselling clients on additional software modules As of July 31 2023 an impressive 63 of subscribers had five or more modules 41 had six or more and 24 had seven or moreCombined with gross client retention figures which has consistently been around 98 in the past five quarters CrowdStrikes dollarbased retention rates have stayed above the companys 120 target threshold for more than five yearsAccording to the company its total addressable market or TAM is predicted to grow from approximately 100 billion this year to nearly 128 billion by 2025 even with its current set of features CrowdStrike plans to expand its product roadmap however and take advantage of more cloud security opportunities which will significantly increase its TAM The company predicts a TAM of 225 billion by 2028CrowdStrike was also profitable on a GAAP basis The Generally Accepted Accounting Principles net income was 85 million which is a significant improvement compared to a loss of 493 million in the second quarter of the previous year In EPS this means 003 an increase compared to a loss of 021 in the second quarter of the previous yearCrowdStrike announced in its Q1 earnings that it had achieved GAAP profitability for the first time since it became a public company,1,2023-10-27,2
